,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
NF-kB-p65_pS536,0.00069971,0.000786724,0.004742825,0.001067408,0.000425212,0.03316952,0.005479852,0.000392626,0.000504245,0.001906544,0.001238702,0.000735913,0.000364347,0.00053335,0.000523165,0.0008872,0.011476605,0.000503804,0.099306299,0.781541449,0.000237731,0.000434375,0.000623356,0.003519546,0.206039505,0.000348857,0.000453291,0.000567819,0.000503985,0.000794637,0.000776521,0.000678104,0.007608674,0.057058418,0.419879187
p27_pT157,0.001895019,0.000677497,0.000413914,0.000633215,0.000345073,0.000507938,0.000579426,0.000434985,0.00158698,0.000578089,0.000645272,0.00073046,0.001382198,0.000565513,0.000491341,0.001483996,0.000455575,0.00012598,0.000438356,0.000661409,0.000503418,0.000297881,0.00054529,0.012173584,0.000796733,0.000466333,0.00033772,0.000634842,0.000361806,0.0025228,0.000365614,0.000375689,0.000515738,0.000761265,0.003401164
p27_pT198,0.002820309,0.000506842,0.000577506,0.002194247,0.000331003,0.00046109,0.000634444,0.00041884,0.000552877,0.000860849,0.000788195,0.000848757,0.000698723,0.02185193,0.001737486,0.000482136,0.000781731,0.00028335,0.000471152,0.000796562,0.000424779,0.00036235,0.000642826,0.001398136,0.000456706,0.000402332,0.000353951,0.000582652,0.000440639,0.000680278,0.000372659,0.000365604,0.001639193,0.000533494,0.000526162
p38_pT180_Y182,0.000980866,0.000526439,0.001010394,0.000631994,0.000592951,0.001573981,0.131673308,0.000528434,0.001167164,0.003090146,0.000564612,0.003852324,0.00084869,0.001638167,0.001792641,0.020804629,0.007070735,0.002587183,0.021816749,0.001078149,0.000351128,0.000312747,0.092103812,0.012118814,0.44655491,0.000510295,0.000428095,0.000671555,0.000410478,0.071229392,0.000730024,0.000352136,0.00535738,0.004631136,0.361994656
p70S6K_pT389,0.005058775,0.003868046,0.001491249,0.004119114,0.001870128,0.002992736,0.008781442,0.000383432,0.000769886,0.002007514,0.001805216,0.99308703,0.000858549,0.262720275,0.000864298,0.003052445,0.000663063,0.000258683,0.999169023,0.014907683,0.000278441,0.120641408,0.001764888,0.997366281,0.004446984,0.218978236,0.000418168,0.285700317,0.003002628,0.996934492,0.000749041,0.000889069,0.000980276,0.03175538,0.002389915
p90RSK_pT359_S363,0.000985866,0.002032768,0.001274155,0.000670795,0.000353465,0.75045918,0.016728827,0.013823009,0.000777161,0.003125719,0.000533091,0.005670545,0.000478295,0.012381266,0.000855695,0.000396306,0.001581917,0.001285786,0.054631661,0.028043408,0.000239228,0.000312678,0.00054897,0.000572802,0.002602856,0.000345111,0.000346036,0.000846772,0.111236505,0.958463574,0.000588212,0.000384046,0.000702828,0.000967169,0.007681098
PDK1_pS241,0.013902815,0.008040478,0.40330667,0.11699969,0.000949089,0.010710756,0.000903461,0.000393807,0.008247532,0.004816548,0.000556835,0.000826781,0.00133597,0.01168933,0.002990126,0.000511594,0.006412214,0.009315804,0.001370212,0.002244208,0.000260626,0.00081221,0.001402992,0.306118406,0.000617185,0.000444241,0.043027555,0.004548137,0.01560394,0.001742736,0.003652236,0.000375015,0.012277344,0.000643121,0.002620352
PKC-alpha_pS657,0.000548574,0.001005666,0.000497184,0.000628226,0.000463954,0.000553448,0.003272822,0.000645511,0.001351831,0.001203399,0.002010358,0.000923413,0.00057282,0.000530951,0.000876129,0.000766195,0.001769072,0.001161705,0.001638502,0.00073269,0.00092213,0.000300144,0.000871501,0.013086238,0.010393847,0.000437948,0.000340401,0.000885118,0.000674849,0.10864025,0.000444408,0.000536829,0.000620505,0.001526854,0.025558884
PRAS40_pT246,0.000809893,0.000983506,0.003323894,0.000721965,0.001923738,0.004122469,0.001443083,0.001371878,0.000511571,0.848614701,0.00339117,0.001270027,0.001084017,0.000853909,0.000846613,0.000563913,0.000394593,0.000437643,0.007995406,0.002267435,0.000583633,0.000845902,0.003328535,0.001042659,0.001928204,0.00114183,0.000369839,0.008999596,0.001200844,0.001944021,0.000465703,0.001391274,0.003284816,0.090498649,0.001500026
Rb_pS807_S811,0.005668345,0.001501853,0.000584976,0.000780713,0.001342659,0.001168279,0.002385652,0.000395025,0.001673215,0.000580562,0.000744207,0.001345482,0.000374592,0.000605692,0.000920839,0.000384639,0.000399782,0.000128991,0.000450464,0.001099503,0.000247851,0.000288453,0.000627193,0.005330768,0.000703389,0.003880382,0.000582057,0.000792167,0.157812975,0.000831342,0.000614266,0.000565515,0.000632577,0.002074011,0.00229383
S6_pS235_S236,0.001962937,0.001112248,0.002892317,0.000636488,0.000980423,0.001241231,0.171768562,0.000667229,0.000902315,0.001282285,0.001754646,0.003647568,0.001370082,0.013288519,0.001449438,0.001386318,0.001035134,0.000152038,0.075783743,0.110646566,0.000286248,0.000443138,0.782142523,0.001546131,0.018748435,0.000537533,0.00033821,0.000803668,0.000660918,0.238292372,0.000502965,0.001357639,0.00619229,0.068426391,0.03651761
Src_pY416,0.000638989,0.000569998,0.001629297,0.003400354,0.000374547,0.000978921,0.00062916,0.000431882,0.000513746,0.000831557,0.000733978,0.000872786,0.000267886,0.000861736,0.001564561,0.000348791,0.000764485,0.000228688,0.000812853,0.000704555,0.000239364,0.000273148,0.000558429,0.000757277,0.000618397,0.000372049,0.000469882,0.000691217,0.000738503,0.000519144,0.001069197,0.000582252,0.180823545,0.000496214,0.00062463
Src_pY527,0.004533873,0.000735471,0.000957918,0.000666826,0.000587946,0.000737233,0.026958765,0.003754973,0.000599778,0.001133046,0.000556995,0.010218246,0.00057913,0.004004371,0.002280535,0.000514926,0.026709135,0.17954357,0.001851276,0.00066979,0.000314983,0.000270183,0.001598089,0.000768644,0.012497809,0.000417283,0.000477353,0.01152063,0.006277322,0.02109761,0.00045341,0.000365578,0.825719645,0.000604207,0.002833856
STAT3_pY705,0.00781212,0.000564085,0.000588059,0.004911658,0.000424662,0.001204676,0.001259111,0.000432169,0.013211354,0.00062463,0.000511819,0.001810638,0.004316581,0.014149277,0.002908226,0.008115178,0.000513836,0.000205538,0.000585331,0.007012857,0.000306647,0.001236034,0.000730023,0.063834132,0.00061223,0.006468756,0.00076628,0.001872005,0.002339316,0.000988401,0.00120112,0.000808292,0.213734349,0.004395193,0.001085193
YAP_pS127,0.001316142,0.000514535,0.003348295,0.000636362,0.000377599,0.000893812,0.001465332,0.000623611,0.00113029,0.10327784,0.002290846,0.000795346,0.000274278,0.001394365,0.00110229,0.000396521,0.001871386,0.000249679,0.002324863,0.001073119,0.000350778,0.001683015,0.002980986,0.000541272,0.003554258,0.000754761,0.00275269,0.001120449,0.000831445,0.000471304,0.002958264,0.000871361,0.049639642,0.018324725,0.008808298
YB-1_PS102,0.003301693,0.000507212,0.011701331,0.00355509,0.000607394,0.006284759,0.001011759,0.002933378,0.00158718,0.0013926,0.000534189,0.000729981,0.000540502,0.000717747,0.001033763,0.000348276,0.017913514,0.000957946,0.001369497,0.080030652,0.000242298,0.000603692,0.000681205,0.000582635,0.000878052,0.000349076,0.000507206,0.000589618,0.000466961,0.000572472,0.001768956,0.000491442,0.000543482,0.000970659,0.734543295
