,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
p27_pT198,0.002145384,0.00036448,0.001455888,0.000686689,0.000866714,0.002154616,0.00029662,0.000481138,0.000400583,0.003483328,0.000554202,0.003956757,0.004993689,0.006216361,0.00050931,0.000876609,0.000852591,0.002490903,0.00116882,0.007145433,0.00023814,0.000520503,0.000452563,0.000841791,0.000644111,0.013513454,0.000785776,0.001618379,0.004055591,0.000535768,0.000549412,0.00182225,0.00073059,0.010826424,0.000562392
p38_pT180_Y182,0.000527836,0.00243831,0.001755957,0.00132353,0.019807291,0.002333975,0.00037983,0.000467811,0.000431208,0.000447642,0.001017317,0.0014398,0.002863317,0.000598405,0.002600608,0.000463148,0.000785219,0.012741243,0.000615505,0.00137862,0.000251398,0.005826262,0.000313119,0.0006045,0.001367733,0.000610103,0.000648308,0.00138204,0.000411066,0.000668193,0.000692584,0.000729004,0.000758207,0.002326613,0.001079393
p70S6K_pT389,0.00056966,0.001049323,0.002842166,0.000921734,0.000351865,0.000650889,0.000405028,0.00062865,0.000336873,0.00210244,0.000641827,0.291546046,0.000704808,0.460065981,0.000702588,0.00121644,0.000823252,0.006856215,0.904888597,0.000465983,0.00024821,0.955300634,0.106750024,0.99814471,0.001365683,0.24363347,0.000523091,0.73506605,0.000756952,0.19863108,0.000538575,0.000482949,0.000408152,0.014096412,0.000484562
p90RSK_pT359_S363,0.000956458,0.000360744,0.000631355,0.000991838,0.000310549,0.216876691,0.00042213,0.000673474,0.000483518,0.000520174,0.000591653,0.000662469,0.052047107,0.026709609,0.000735714,0.00141088,0.005016158,0.004673242,0.029840334,0.001533557,0.000981487,0.000536888,0.002380097,0.000859911,0.003105675,0.00054595,0.000721018,0.001617191,0.166556713,0.179631406,0.004054474,0.001024345,0.000637774,0.000662471,0.000754161
PDK1_pS241,0.000626823,0.000290381,0.769932182,0.305603307,0.000406693,0.001911399,0.000266582,0.000473054,0.000322915,0.04699318,0.00055943,0.001348632,0.000775158,0.001149425,0.000494331,0.005689703,0.0006809,0.000684815,0.000565552,0.000412623,0.000239454,0.000602926,0.000375435,0.177542196,0.001214362,0.000350923,0.010360489,0.002025332,0.000606293,0.000575537,0.000573532,0.000480706,0.000883966,0.005748965,0.00233088
PKC-alpha_pS657,0.000557182,0.000475377,0.000735422,0.000602282,0.000875874,0.000537797,0.000928156,0.00413358,0.000429694,0.001584707,0.000515248,0.000990209,0.000951057,0.003723795,0.003138686,0.001665609,0.000653656,0.001750824,0.003533239,0.0003163,0.000478728,0.003171945,0.002019765,0.000892642,0.000885886,0.000339843,0.001486766,0.00054619,0.001405992,0.000596098,0.00072662,0.00082627,0.001932566,0.001284198,0.001153297
PRAS40_pT246,0.000612281,0.000662411,0.000766284,0.000717886,0.000313645,0.000824889,0.000389689,0.00047648,0.000640626,0.000605752,0.000587512,0.000779277,0.001010161,0.000732011,0.001125497,0.000584146,0.000546862,0.000698975,0.008434254,0.002240703,0.000237842,0.003814972,0.002394017,0.000794928,0.001999106,0.000770873,0.000556038,0.002390966,0.000859993,0.000924113,0.000735548,0.00052948,0.000466634,0.002140889,0.000473405
Rb_pS807_S811,0.000662104,0.000471051,0.000874821,0.002482084,0.00059104,0.008538958,0.000257286,0.000743922,0.000340666,0.000598746,0.001408277,0.000563908,0.021163469,0.001319537,0.000943942,0.000493196,0.000543647,0.000569785,0.000684114,0.000509057,0.001176059,0.001138201,0.000291144,0.000667719,0.007710242,0.000368908,0.000935946,0.000845146,0.278246996,0.000729393,0.001646638,0.000659359,0.000464987,0.000818704,0.008448657
S6_pS235_S236,0.000739918,0.000833934,0.001591502,0.001108357,0.000327864,0.000577562,0.000693802,0.000960885,0.000326838,0.008819271,0.000673952,0.00192733,0.000582681,0.003532979,0.000693847,0.002211406,0.000626148,0.0048174,0.121797205,0.002291655,0.000241412,0.002594285,0.864767974,0.001376053,0.001518255,0.001012438,0.000546816,0.007287155,0.000531679,0.978086112,0.000552614,0.000500439,0.000362887,0.017191205,0.000488877
Src_pY416,0.000546205,0.000406687,0.000675595,0.000855788,0.000743597,0.00067423,0.000316953,0.000928531,0.000626849,0.000407826,0.000664137,0.000688027,0.001794206,0.000559603,0.000879448,0.003950922,0.0015064,0.003640258,0.000862936,0.000312547,0.000254592,0.000945138,0.000591886,0.000552099,0.000832953,0.000705761,0.003530271,0.000672525,0.000768127,0.000567173,0.001034812,0.003941288,0.176229104,0.0009046,0.000485037
Src_pY527,0.000746737,0.000342009,0.001208316,0.00557043,0.000511968,0.012933256,0.000289208,0.000619763,0.000303533,0.000818258,0.000836842,0.000870893,0.00388823,0.000625672,0.000915105,0.000588903,0.000589493,0.000748472,0.000635374,0.000689994,0.000252945,0.00051669,0.001905408,0.000595667,0.003756158,0.00041338,0.000626538,0.001558402,0.000553909,0.000631489,0.000674034,0.000469726,0.124042963,0.001023581,0.006093117
STAT3_pY705,0.000682385,0.000280744,0.000747178,0.000692358,0.000334661,0.006878895,0.000690761,0.00056935,0.000518549,0.000557001,0.000576982,0.000711765,0.00099241,0.00055511,0.000495496,0.000497763,0.000576693,0.000731204,0.003506861,0.000570276,0.000270707,0.001443746,0.000911162,0.000620292,0.00091082,0.000407111,0.000699337,0.001421194,0.000617554,0.00085833,0.000932891,0.000676058,0.184143062,0.004296435,0.000521915
YAP_pS127,0.000646504,0.000653337,0.000829798,0.002231262,0.000395467,0.024151002,0.000755855,0.000683454,0.000282518,0.000477213,0.001187868,0.00184139,0.003392917,0.003131842,0.000933769,0.00059548,0.009504501,0.002564573,0.001219802,0.000397791,0.000257668,0.00052381,0.001204767,0.000795992,0.001880421,0.000359952,0.000545197,0.000548848,0.00122572,0.000696395,0.001173693,0.000492494,0.000462884,0.005081074,0.000853809
YB-1_PS102,0.000635519,0.000272752,0.000634011,0.001098514,0.000323424,0.002043587,0.000540407,0.000487213,0.00030127,0.000759418,0.000539455,0.000697,0.000775501,0.00111675,0.0006692,0.000674029,0.000977409,0.00068498,0.00437977,0.000493288,0.000864606,0.003296858,0.049045894,0.001237352,0.001316186,0.000489957,0.004643151,0.001021039,0.000547248,0.000609152,0.000881721,0.000482325,0.000372305,0.000603586,0.912116091
