,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.091976225,0.002370377,0.000764257,0.001061397,0.000304829,0.002187376,0.00030064,0.001109182,0.001012056,0.001093016,0.00090258,0.004612105,0.000745045,0.000510576,0.007145704,0.000649821,0.000983277,0.017247598,0.000802795,0.038593041,0.000293129,0.0037706,0.001201065,0.000616324,0.00067578,0.001183091,0.000859491,0.009454138,0.001279629,0.000966082,0.012501937,0.000770762,0.001759607,0.482830501,0.037751185
ACC_pS79,0.001606248,0.000923224,0.000601984,0.000595874,0.001313362,0.000567525,0.000562699,0.002479357,0.004670285,0.006174885,0.000787996,0.001168095,0.000545154,0.000597699,0.000676025,0.005949897,0.030300623,0.003473259,0.004161129,0.000713749,0.000271718,0.000395241,0.009346386,0.001701586,0.010825162,0.0006049,0.000407426,0.000572412,0.000628467,0.000752505,0.001098483,0.017434676,0.000661148,0.000923073,0.000628669
Akt_pS473,0.000517559,0.000464264,0.999967755,0.074688113,0.000734917,0.145692479,0.000102498,0.000815074,0.00043978,0.000199674,0.000299341,0.000196472,0.000367788,0.994976687,0.349342533,0.002159163,0.000196656,0.00529671,0.000227632,0.013906596,0.000128838,0.000215948,0.000310587,0.00046206,0.000582222,0.00041182,8.24E-05,0.163883231,0.000494307,0.000154384,0.019286336,0.000201427,0.003449629,0.514901824,0.003833577
Akt_pT308,0.000221237,0.000663648,0.000862373,0.940945153,0.000925731,0.002164337,0.000127248,0.000302408,0.000273844,0.000242191,0.000134147,0.000379099,0.00071518,0.565192901,0.065280641,0.001521234,0.000190131,0.000967583,0.000148144,0.001533374,8.62E-05,0.000151838,0.000155276,0.000261591,0.000468098,0.000573936,7.74E-05,0.075891303,0.00104357,0.000150628,0.015556125,0.000169865,0.000885771,0.05912487,0.000462075
AMPK_pT172,0.001981912,0.590937055,0.000674538,0.000618156,0.058712468,0.000894822,0.000496276,0.00238017,0.000641089,0.003793986,0.001213376,0.001368135,0.000584954,0.000478569,0.001197345,0.003542432,0.002765501,0.000627568,0.218647598,0.000381709,0.000324102,0.000409261,0.000814722,0.00149806,0.004654624,0.000907632,0.000390893,0.0005918,0.000583736,0.000659933,0.001336522,0.050050657,0.000573231,0.000511822,0.001356405
Bad_pS112,0.002305427,0.0067647,0.000624632,0.000975315,0.003612299,0.55580204,0.001862237,0.000676537,0.001413944,0.000621936,0.002116781,0.000633792,0.004246118,0.000540191,0.004481934,0.000829913,0.196035852,0.234803325,0.000731906,0.014572568,0.000260936,0.00120685,0.00062804,0.001036543,0.001145248,0.015337168,0.001012869,0.00060383,0.00065312,0.000581596,0.006471171,0.001757597,0.000881102,0.000586847,0.000648181
c-Met_pY1235,0.00260736,0.00077174,0.000765329,0.000552437,0.002789715,0.00098306,0.00110432,0.031000405,0.000834165,0.000740388,0.001687556,0.000470245,0.000608951,0.000556175,0.000583492,0.404175541,0.002784077,0.005512501,0.000951865,0.000513803,0.000270849,0.000465661,0.001948682,0.000742786,0.000769574,0.025607076,0.124543601,0.000636612,0.000617295,0.000768308,0.218577025,0.202750097,0.001035957,0.002994462,0.000728515
c-Raf_pS338,0.001400952,0.001001186,0.000665941,0.001258711,0.000974178,0.001136342,0.000664609,0.999440637,0.001973265,0.000751508,0.000371177,0.001291896,0.000567008,0.001207851,0.000814806,0.018461253,0.002628915,0.108953653,0.005137821,0.00043593,0.00034596,0.00047424,0.021456737,0.000713007,0.009030599,0.000607843,0.000825511,0.000754907,0.000893817,0.00120075,0.000943963,0.001032797,0.000825578,0.001574985,0.000656234
Chk1_pS345,0.002328618,0.001017713,0.000628811,0.000844907,0.028542076,0.000568687,0.000264365,0.001775479,0.830271801,0.015187601,0.000943404,0.000771685,0.014404143,0.000893457,0.001306826,0.001515925,0.033600519,0.003001074,0.000651732,0.001002304,0.000898673,0.000755235,0.001520293,0.001792758,0.000792682,0.00102527,0.000479309,0.00067868,0.002133982,0.000580084,0.00059365,0.000645959,0.001020483,0.001445724,0.001025451
Chk2_pT68,0.000672816,0.001589969,0.000658248,0.003143601,0.001011332,0.000614205,0.000287002,0.000732867,0.005489105,0.996410325,0.000341078,0.005684596,0.000998703,0.000789612,0.001072284,0.001394397,0.000755445,0.001336167,0.015404597,0.000490467,0.000341918,0.008893087,0.448578081,0.000934031,0.005413056,0.000998978,0.003628916,0.001714511,0.001055603,0.004135562,0.000942589,0.000946853,0.000989751,0.001241548,0.000710342
