,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
p70S6K_pT389,0.000943925,0.002377875,0.001095541,0.003514465,0.000304085,0.026028879,0.005957527,0.000811598,0.000822422,0.000554814,0.000455627,0.221674127,0.007125443,0.433146286,0.005341176,0.001050067,0.000716447,0.001240747,0.881554538,0.021007173,0.000363554,0.968949327,0.00142795,0.802433403,0.000705356,0.320221005,0.008902395,0.679430927,0.000541209,0.279906537,0.06762843,0.001231456,0.00116446,0.000916007,0.002883412
p90RSK_pT359_S363,0.000825585,0.000778697,0.001038424,0.000650791,0.002518284,0.708565269,0.20952391,0.005326731,0.001509112,0.005477589,0.016254775,0.009720353,0.001795914,0.006761151,0.006885762,0.002631464,0.001871968,0.002168624,0.02169206,0.036365508,0.000494348,0.000606302,0.000676271,0.000673987,0.341192437,0.000447322,0.000803681,0.001909258,0.291462285,0.2662463,0.000599333,0.000769132,0.010490763,0.00084592,0.000859231
PDK1_pS241,0.000806834,0.00060117,0.178079937,0.082251146,0.000529677,0.000702144,0.000678208,0.000842622,0.000779324,0.000536382,0.001081915,0.001210009,0.000621304,0.000655196,0.006034468,0.000595975,0.000600141,0.000655232,0.000681894,0.001021593,0.000426575,0.006030046,0.000228017,0.279062805,0.000626728,0.002449541,0.014716902,0.001018979,0.000491594,0.001276414,0.017849624,0.001629237,0.000304888,0.00103415,0.00056074
PKC-alpha_pS657,0.000575044,0.000544889,0.000627797,0.000904708,0.000301774,0.000836282,0.000623712,0.000888436,0.001441655,0.000629418,0.000458884,0.00082755,0.000403385,0.00110233,0.000679814,0.000652457,0.000839357,0.000923491,0.000614005,0.002058692,0.000264286,0.001642423,0.000288161,0.001320547,0.000684942,0.049340694,0.142276014,0.00043606,0.000606852,0.001763392,0.06854698,0.001574614,0.000673194,0.000656671,0.002136253
PRAS40_pT246,0.000911389,0.000489334,0.000820174,0.000584593,0.000755925,0.001307486,0.000683012,0.00062737,0.001140765,0.002519754,0.000475469,0.000837774,0.002052793,0.000692156,0.006587133,0.000678235,0.000796626,0.017081907,0.010029636,0.000974967,0.00214294,0.000648554,0.000788943,0.000599968,0.000790612,0.00052491,0.004599725,0.000500921,0.007262588,0.000578087,0.000958877,0.000792382,0.001316847,0.000604016,0.002307742
Rb_pS807_S811,0.002684238,0.001269373,0.000639658,0.000706879,0.029220577,0.007696509,0.000613598,0.000813524,0.001057849,0.000577374,0.059972483,0.004261269,0.000500415,0.000635704,0.000755328,0.000601832,0.00062698,0.011593896,0.00069537,0.000538139,0.001100306,0.000825402,0.000732097,0.000610907,0.001092548,0.000646663,0.002227593,0.000518447,0.254300828,0.00058058,0.000801253,0.003146215,0.001559521,0.000588082,0.00056787
S6_pS235_S236,0.000703958,0.001721174,0.001134673,0.004736426,0.000301589,0.09497844,0.002346112,0.000843411,0.000841146,0.000563421,0.000447354,0.001960452,0.004386011,0.002274742,0.009305017,0.000998477,0.00085405,0.001157695,0.147754517,0.033507369,0.000368064,0.002333265,0.535286376,0.001079282,0.000680633,0.00100897,0.004827004,0.003787433,0.000511581,0.93647075,0.042468502,0.000943377,0.00076807,0.000639521,0.00292031
Src_pY416,0.014169208,0.001125396,0.000620931,0.000875408,0.000483792,0.004106256,0.00098549,0.000643216,0.00073132,0.000563131,0.001628864,0.000944818,0.006540657,0.00080353,0.021999894,0.000920185,0.000645652,0.000768168,0.000836019,0.002507514,0.000279208,0.002866402,0.000331288,0.000894748,0.000746303,0.000678561,0.660194848,0.000481012,0.000492827,0.000886399,0.380682592,0.008975098,0.074770404,0.00230134,0.001143871
Src_pY527,0.000787539,0.000561362,0.00070282,0.000636394,0.001370816,0.000874513,0.005671888,0.000740129,0.001711155,0.001523712,0.005880732,0.00137427,0.001328639,0.000657133,0.00131963,0.000978662,0.001411338,0.000964174,0.000886717,0.000487877,0.000446857,0.000997572,0.001116008,0.000706971,0.000814505,0.005297541,0.018495855,0.000399251,0.000457512,0.000953963,0.007239507,0.008279779,0.616039258,0.000461473,0.00101048
STAT3_pY705,0.000585055,0.001150057,0.000586555,0.00058512,0.000392733,0.000645426,0.037674208,0.001119232,0.000737266,0.000582862,0.00064676,0.002375098,0.171559846,0.000776717,0.34817638,0.001243248,0.00088746,0.000778352,0.000593048,0.001196528,0.001611793,0.000940146,0.001324951,0.000622633,0.003964153,0.000438987,0.000858947,0.000475888,0.000747777,0.000750071,0.001236577,0.00072179,0.989670696,0.000416922,0.001032537
YAP_pS127,0.000725743,0.007490755,0.001376015,0.00075688,0.003666236,0.025741324,0.008283672,0.00268525,0.000750048,0.000548077,0.000450034,0.00072368,0.000497983,0.000634309,0.000722529,0.000795745,0.002184535,0.005836062,0.000621769,0.0250895,0.001630208,0.000941365,0.000319959,0.000659161,0.001187015,0.000894669,0.001080504,0.001314034,0.0006993,0.000596302,0.004591299,0.001703794,0.000270363,0.002526739,0.020463074
YB-1_PS102,0.0014386,0.00079692,0.000584426,0.000676402,0.001085805,0.003131379,0.003389538,0.001461335,0.004424844,0.000545677,0.008068016,0.002816647,0.000672403,0.001047244,0.065558397,0.001818808,0.000587677,0.000783751,0.001797418,0.000768256,0.000307686,0.000762811,0.01128345,0.000605386,0.00177545,0.000442239,0.001003004,0.000391313,0.00051731,0.000822016,0.004390678,0.002035715,0.000841477,0.000421955,0.951611294
