,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
GSK3-alpha-beta_pS21_S9,0.021925654,0.002364143,0.001495893,0.000628278,0.000253763,0.455576003,0.005565164,0.000588142,0.002482277,0.000424279,0.000264921,0.001183883,0.001763785,0.000526736,0.00078999,0.001605151,0.001345461,0.000948632,0.088762553,0.000850605,0.000318989,0.000375928,0.002341517,0.000543735,0.000901711,0.001447029,0.001270391,0.001078531,0.002389579,0.000660555,0.015317408,0.000337659,0.036650548,0.001640086,0.002041191
HER2_pY1248,0.000919681,0.000352269,0.000589754,0.001172217,0.0003135,0.000158942,0.000353499,0.320919943,0.000758904,0.00063608,0.000330781,0.000991091,0.018763415,0.00092155,0.001896103,0.334534827,0.000582198,0.000912312,0.001401587,0.002351224,0.003027422,0.000410326,0.235291053,0.001234146,0.000987465,0.031532499,0.109992724,0.002776282,0.14442711,0.000622442,0.146097458,0.157051233,0.000697103,0.000955422,0.001156167
JNK_pT183_pT185,0.001195571,0.002685144,0.000557924,0.00061355,0.000332302,0.008234167,0.001135268,0.000518395,0.000852411,0.000566519,0.000347604,0.00058587,0.027408168,0.000787173,0.000733595,0.001052445,0.000434444,0.000557585,0.001324138,0.000753847,0.000357315,0.000299123,0.000618637,0.005024475,0.000850907,0.00173147,0.000674114,0.006331861,0.001034532,0.001605324,0.000829049,0.000443058,0.000677673,0.001739057,0.000858151
MAPK_pT202_Y204,0.003320588,0.000943468,0.000571507,0.001276198,0.000503359,0.0159694,0.000303145,0.028346263,0.04594779,0.011565264,0.054880866,0.11251801,0.00295718,0.001795371,0.172108246,0.002573049,0.708559156,0.874775746,0.151931193,0.000573349,0.028871348,0.006016593,0.001215692,0.001046922,0.909935708,0.00052865,0.000354436,0.001272021,0.017013759,0.000556383,0.004920532,0.00129068,0.016292193,0.011023477,0.001112906
MEK1_pS217_S221,0.00829503,0.000263333,0.000561153,0.00254328,9.09E-05,0.000195996,0.000245516,0.000388207,0.005309267,0.003589418,0.009991222,0.055667331,0.001080077,0.000617682,0.001185044,0.000409273,0.999805254,0.359616292,9.60E-05,0.002659909,0.002939659,0.005391202,0.000447099,0.000414687,0.077093463,9.33E-05,5.91E-05,0.000644246,0.000697882,0.000282832,0.000899373,0.000233421,0.006530593,0.00450413,0.009931752
mTOR_pS2448,0.511553683,0.00035171,0.020384447,0.131684189,1.85E-05,0.005580492,0.000300517,0.001332361,0.000213919,5.72E-05,0.000150495,0.000166236,0.000482345,0.020358185,6.07E-05,6.96E-05,2.50E-05,3.17E-05,0.014309458,2.85E-05,8.63E-05,0.000159082,9.48E-05,0.988421793,9.48E-05,0.000719435,9.91E-05,0.225122494,0.00112628,0.013730073,0.007132649,1.76E-05,0.003706419,0.002411483,5.20E-05
NF-kB-p65_pS536,0.00094736,0.001043084,0.000681275,0.000583612,0.000254579,0.000102291,0.000302668,0.000500974,0.002404649,0.000435292,0.000790177,0.000762132,0.001625992,0.000614764,0.000649888,0.000902508,0.000462441,0.000670497,0.000651316,0.270200916,0.00119122,0.000363277,0.000513074,0.001445487,0.000664544,0.006291586,0.000544,0.00860492,0.000761156,0.001309577,0.00433627,0.000457857,0.000528569,0.005198687,0.000526483
p27_pT157,0.002055495,0.000396962,0.00056376,0.000541075,0.000375174,8.38E-05,0.001607883,0.000629575,0.000821352,0.001287175,0.000266082,0.003679404,0.002344926,0.001118273,0.000905466,0.001557861,0.000432769,0.00078627,0.001692338,0.000491168,0.008714426,0.001002699,0.003096806,0.002737156,0.001751428,0.000543679,0.000342182,0.004550208,0.001395537,0.000665842,0.000672123,0.00065802,0.002700349,0.010994764,0.004565451
p27_pT198,0.007813576,0.000366627,0.000803717,0.025951433,0.00033005,0.000280481,0.000290233,0.001523759,0.000965788,0.001228061,0.000376231,0.002982118,0.000570295,0.000940321,0.001920934,0.18622795,0.000736339,0.000509969,0.000661916,0.005097656,0.001443138,0.000693715,0.000484915,0.000581917,0.000957882,0.000696868,0.000366505,0.000719997,0.000791845,0.000896207,0.000564222,0.000527819,0.000946359,0.003249195,0.002297338
p38_pT180_Y182,0.005322923,0.000541984,0.001023611,0.013322306,0.000253069,0.000110495,0.000367275,0.002465003,0.906679005,0.044861095,0.000267233,0.051213741,0.000815956,0.000534664,0.001611668,0.003049306,0.000515047,0.001991735,0.000978782,0.002557254,0.015536191,0.003662669,0.000491059,0.00063431,0.000823552,0.000610599,0.000398941,0.000876984,0.000733088,0.01073327,0.007757063,0.000909693,0.00055217,0.003375735,0.000516444
p70S6K_pT389,0.00154884,0.007359369,0.001529168,0.000904398,0.000281039,0.181869233,0.011644067,0.000563487,0.001033779,0.00053757,0.000274206,0.30328489,0.002464529,0.977770351,0.000541932,0.000728259,0.000989531,0.000854737,0.979982333,0.000578068,0.000447103,0.098667103,0.002096822,0.188250371,0.001046018,0.752307956,0.001045063,0.769882988,0.001907025,0.584830136,0.039550482,0.000357988,0.027040946,0.005778324,0.001758348
