,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
p70S6K_pT389,0.000642121,0.001526775,0.000653073,0.000546177,0.000303931,0.001112054,0.000988838,0.000602649,0.000345686,0.000535609,0.000723294,0.516186792,0.000524933,0.488841956,0.001960923,0.000826375,0.001944092,0.00160882,0.669075233,0.000355481,0.000854829,0.974779909,0.00263834,0.489471996,0.001299846,0.819690001,0.001281267,0.677510971,0.000597362,0.18446021,0.000634446,0.00364897,0.001950258,0.006003825,0.000729703
p90RSK_pT359_S363,0.000578193,0.000713362,0.001452987,0.000543789,0.00026647,0.306009148,0.001536104,0.000660127,0.000281757,0.000792094,0.001456708,0.001998967,0.001508091,0.033790956,0.001501046,0.00057248,0.000747773,0.001606707,0.021342982,0.000301135,0.002589869,0.001195994,0.000622686,0.000677096,0.002451662,0.000881178,0.000694361,0.001936178,0.159199758,0.176340864,0.001377911,0.00036089,0.001492496,0.00068531,0.001701661
PDK1_pS241,0.000858951,0.000528445,0.286694008,0.071030548,0.000386993,0.000716379,0.000419522,0.000597649,0.00039797,0.000638588,0.000733115,0.001059462,0.000632268,0.000729582,0.000751375,0.00085144,0.003685263,0.005970299,0.00066086,0.000340437,0.000244718,0.000679766,0.001320332,0.366723684,0.000889804,0.001641425,0.008803379,0.000816169,0.003001638,0.000843707,0.00066771,0.000677797,0.000637423,0.001374837,0.000833084
PKC-alpha_pS657,0.001311076,0.000659391,0.001769151,0.000515361,0.000354302,0.000797865,0.000265216,0.000870953,0.000298522,0.004124076,0.000840071,0.001391889,0.01702751,0.000553908,0.000636651,0.002390929,0.001089447,0.000524732,0.002013922,0.00031584,0.000273815,0.001664958,0.00057291,0.001472269,0.001044122,0.001097982,0.003501025,0.00064977,0.000698417,0.000622234,0.000597375,0.007114159,0.002389091,0.025305358,0.015157691
PRAS40_pT246,0.000608442,0.000833951,0.000613686,0.000521012,0.000474169,0.002782659,0.000672255,0.000563618,0.000636,0.00052971,0.000637646,0.002502972,0.000463718,0.000670724,0.000664321,0.001056522,0.000884459,0.000593627,0.011602579,0.000365913,0.000522929,0.003719123,0.001793166,0.001377791,0.001000531,0.005323283,0.000820095,0.000757733,0.000535542,0.000940084,0.000727968,0.008356096,0.006370305,0.00102243,0.000614727
Rb_pS807_S811,0.000730003,0.000694632,0.000527338,0.000515931,0.000909202,0.001164237,0.000259015,0.000540206,0.001018521,0.000722508,0.000725532,0.000700076,0.000592312,0.00090478,0.000735892,0.000573543,0.002168294,0.000564822,0.000639474,0.000613142,0.000331604,0.000572533,0.000564229,0.001013722,0.000735746,0.002456376,0.000721064,0.000720446,0.802121763,0.000688124,0.002505379,0.000359776,0.00079617,0.002720656,0.000497221
S6_pS235_S236,0.000744689,0.000881023,0.000681236,0.000546151,0.000281789,0.000879974,0.001529202,0.000716691,0.000352894,0.000523942,0.000608617,0.0042328,0.000501436,0.083798407,0.000774603,0.000530249,0.001084337,0.001139735,0.491038647,0.001612696,0.00131925,0.065061684,0.682737115,0.000974444,0.001442225,0.002416587,0.000598266,0.006521172,0.000630666,0.926128356,0.000646879,0.001630105,0.001450951,0.002741596,0.000693389
Src_pY416,0.00052242,0.000683169,0.000840813,0.002405599,0.000257581,0.000716149,0.000279688,0.000702465,0.00050318,0.00065001,0.001835172,0.003079815,0.000497466,0.069981859,0.000636402,0.000875667,0.005917529,0.004729934,0.000645442,0.000300202,0.001864597,0.000614384,0.000736084,0.000855715,0.01389203,0.001258161,0.000904494,0.007493673,0.000635073,0.000566213,0.012228026,0.000586696,0.255882095,0.001408703,0.000699195
Src_pY527,0.000757319,0.000684746,0.000965939,0.000533264,0.000607979,0.001820749,0.00026393,0.002881853,0.000296469,0.000603795,0.000605032,0.000627963,0.007806003,0.00075407,0.00058842,0.000502525,0.013196844,0.004697075,0.000605448,0.000321569,0.000510178,0.001459297,0.001202693,0.00349669,0.001592108,0.000623129,0.000447921,0.000708354,0.003251852,0.000796665,0.000592288,0.001121794,0.194240434,0.000913545,0.000841483
STAT3_pY705,0.000549784,0.00069664,0.00052977,0.000585554,0.014687543,0.00285789,0.000286131,0.000790858,0.000441866,0.000590919,0.000943026,0.000656432,0.001692138,0.000504547,0.000905172,0.000985985,0.000794479,0.000691851,0.001759798,0.000369656,0.000247612,0.000892439,0.000600335,0.000669552,0.001253132,0.000585885,0.000553053,0.002114145,0.000509797,0.00083597,0.001008906,0.000353274,0.693912224,0.000580467,0.000518913
YAP_pS127,0.000620694,0.000804126,0.000547968,0.000611079,0.000300561,0.000504488,0.003031845,0.000554164,0.000280413,0.000673189,0.001351043,0.001584131,0.001416226,0.008031371,0.001150174,0.000721356,0.008527888,0.006699934,0.000561641,0.001997583,0.000767555,0.000709341,0.000494011,0.000916622,0.000881008,0.000820255,0.000633304,0.00057568,0.000496946,0.000603474,0.002826403,0.000607627,0.000502292,0.004414429,0.001651299
YB-1_PS102,0.000616495,0.000467022,0.000515028,0.000640067,0.000302095,0.001463538,0.024722873,0.000630382,0.001178969,0.000907956,0.000547412,0.000582249,0.000548081,0.002602991,0.000535102,0.00287181,0.00185668,0.003177335,0.001695552,0.000433299,0.001301168,0.070715124,0.000581751,0.001074216,0.000659955,0.000554217,0.008047134,0.001817819,0.001756103,0.000535086,0.000552406,0.002685676,0.00061163,0.005240128,0.996414437
